model,split,R2,MAE,RankIC
Ridge,val,0.002717060980991448,0.04275447938975585,0.031492805449609806
Ridge,test,0.005043385478539775,0.05111135248618142,0.06464637484374326
Lasso,val,0.0046345649575552095,0.042699633315855384,0.05866434687990569
Lasso,test,0.004781082613788401,0.05111981769479835,0.07738826488826488
RF,val,-0.007997895069058236,0.04297096587699838,0.01128058658592526
RF,test,-0.01806275119632228,0.051520969876583965,0.026580008901912987
